,Edit Distance,GI Accuracy,PMFGW,PMFGW h,PMFGW F,PMFGW F_fd,PMFGW A,Edge Precision,Edge Recall,Nodes Accuracy,Size Accuracy
0,42,0,7.3544316,0.48921084,1.4381523,4.7629027,0.6641659,0.0,0.0,0.0,1
1,30,0,7.9213066,0.6440474,1.4226472,5.2002487,0.6543632,0.0,0.0,0.0,0
2,29,0,6.5213404,0.6171336,1.3897369,3.8586113,0.6558584,0.0,0.0,0.0,0
3,28,0,6.2090797,0.5976205,1.3944583,3.5616918,0.65530944,0.0,0.0,0.0,0
4,34,0,7.454109,0.58566713,1.4554002,4.7541323,0.65890986,0.0,0.0,0.0,0
5,35,0,7.682266,0.60072964,1.3972507,5.0246296,0.6596565,0.0,0.0,0.0,0
6,33,0,6.5333405,0.5827241,1.4351481,3.8562574,0.6592106,0.0,0.0,0.0,0
7,36,0,7.3262444,0.55223465,1.4191828,4.6941586,0.6606684,0.0,0.0,0.0,0
8,44,0,8.814788,0.51050764,1.4423394,6.198609,0.6633323,0.0,0.0,0.0,0
9,27,0,7.022916,0.6397275,1.4720438,4.2577724,0.65337205,0.0,0.0,0.0,0
10,33,0,6.7823257,0.5809205,1.4570957,4.085716,0.6585935,0.0,0.0,0.0,0
